id,phrase,feature_1,feature_2,feature_3,sentiment
5358,"Sex ironically has little to do with the story , which becomes something about how lame it is to try and evade your responsibilities and that you should never , ever , leave a large dog alone with a toddler .",41.0,1.0,4.0,0
5359,A bit too derivative to stand on its own as the psychological thriller it purports to be .,18.0,1.0,1.0,1
5360,The type of dumbed-down exercise in stereotypes that gives the -LRB- teen comedy -RRB- genre a bad name .,19.0,,6.0,0
5361,In visual fertility Treasure Planet rivals the top Japanese animations of recent vintage .,,,,2
5362,It 's one long bore .,6.0,1.0,2.0,0
5363,"... is funny in the way that makes you ache with sadness -LRB- the way Chekhov is funny -RRB- , profound without ever being self-important , warm without ever succumbing to sentimentality .",33.0,1.0,11.0,2
5364,A perfectly competent and often imaginative film that lacks what little Lilo & Stitch had in spades -- charisma .,20.0,3.0,4.0,1
5365,"It 's a treat watching Shaw , a British stage icon , melting under the heat of Phocion 's attentions .",21.0,4.0,5.0,2
5366,There 's nothing remotely topical or sexy here .,9.0,1.0,2.0,0
5367,"Sheridan had a wonderful account to work from , but , curiously , he waters it down , turning grit and vulnerability into light reading .",26.0,,5.0,0
5368,"If the film 's vision of sport as a secular religion is a bit cloying , its through-line of family and community is heartening in the same way that each season marks a new start .",36.0,1.0,4.0,2
5369,"Kurys never shows why , of all the period 's volatile romantic lives , Sand and Musset are worth particular attention .",22.0,3.0,4.0,1
5370,Those who trek to the ` plex predisposed to like it probably will enjoy themselves .,,1.0,2.0,2
5371,"It 's packed to bursting with incident , and with scores of characters , some fictional , some from history .",21.0,1.0,5.0,1
5372,"Performances are potent , and the women 's stories are ably intercut and involving .",15.0,1.0,3.0,1
5373,"A melancholy , emotional film .",6.0,1.0,2.0,1
5374,It 's rare for any movie to be as subtle and touching as The Son 's Room .,18.0,,3.0,2
5375,"The movie tries to be ethereal , but ends up seeming goofy .",13.0,1.0,2.0,1
5376,"This slow-moving Swedish film offers not even a hint of joy , preferring to focus on the humiliation of Martin as he defecates in bed and urinates on the plants at his own birthday party .",36.0,3.0,3.0,1
5377,"It is life affirming and heartbreaking , sweet without the decay factor , funny and sad .",,1.0,3.0,2
5378,Terrible .,2.0,1.0,,0
5379,It 's probably worth catching solely on its visual merits .,11.0,1.0,2.0,2
5380,"As a good old-fashioned adventure for kids , Spirit : Stallion of the Cimarron is a winner .",18.0,4.0,4.0,2
5381,At once overly old-fashioned in its sudsy plotting and heavy-handed in its effort to modernize it with encomia to diversity and tolerance .,23.0,1.0,3.0,0
5382,"It may not be a great piece of filmmaking , but its power comes from its soul 's - eye view of how well-meaning patronizing masked a social injustice , at least as represented by this case .",38.0,,6.0,2
5383,Serious and thoughtful .,4.0,1.0,1.0,2
5384,Irwin is so earnest that it 's hard to resist his pleas to spare wildlife and respect their environs .,20.0,1.0,2.0,2
5385,An unsophisticated sci-fi drama that takes itself all too seriously .,11.0,1.0,2.0,0
5386,"the Venezuelans say things like `` si , pretty much '' and `` por favor , go home '' when talking to Americans .",,2.0,11.0,1
5387,Where their heads were is anyone 's guess .,9.0,1.0,,0
5388,"Overall , it 's a very entertaining , thought-provoking film with a simple message : God is love .",19.0,2.0,6.0,2
5389,"The cinematic equivalent of patronizing a bar favored by pretentious , untalented artistes who enjoy moaning about their cruel fate .",21.0,1.0,2.0,0
5390,"As broad and cartoonish as the screenplay is , there is an accuracy of observation in the work of the director , Frank Novak , that keeps the film grounded in an undeniable social realism .",,,4.0,2
5391,Woody Allen used to ridicule movies like Hollywood Ending .,10.0,,1.0,0
5392,One ca n't shake the feeling that Crossroads is nothing more than an hour-and-a-half-long commercial for Britney 's latest album .,21.0,3.0,,0
5393,"... with the gifted Pearce on hand to keep things on semi-stable ground dramatically , this retooled Machine is ultimately effective enough at achieving the modest , crowd-pleasing goals it sets for itself .",,2.0,8.0,2
5394,"The movie tries to be ethereal , but ends up seeming goofy .",13.0,1.0,,1
5395,What 's missing is what we call the ` wow ' factor .,13.0,1.0,4.0,0
5396,Its juxtaposition of overwrought existentialism and stomach-churning gore will have you forever on the verge of either cracking up or throwing up .,23.0,1.0,2.0,1
5397,"There 's nothing exactly wrong here , but there 's not nearly enough that 's right .",17.0,1.0,5.0,0
5398,... most viewers will wish there had been more of the `` Queen '' and less of the `` Damned . '',22.0,2.0,,0
5399,"... feels as if -LRB- there 's -RRB- a choke leash around your neck so director Nick Cassavetes can give it a good , hard yank whenever he wants you to feel something .",34.0,,10.0,0
5400,An energetic and engaging film that never pretends to be something it is n't .,15.0,1.0,2.0,2
5401,As Warren he stumbles in search of all the emotions and life experiences he 's neglected over the years .,20.0,2.0,2.0,1
5402,"While certain cues , like the happy music , suggest that this movie is supposed to warm our hearts , Jeong-Hyang Lee 's film is just as likely to blacken that organ with cold vengefulness .",36.0,3.0,6.0,1
5403,One of those films that started with a great premise and then just fell apart .,,1.0,1.0,0
5404,"This charming , thought-provoking New York fest of life and love has its rewards .",15.0,3.0,3.0,2
5405,"An uncomfortable experience , but one as brave and challenging as you could possibly expect these days from American cinema .",21.0,,2.0,2
5406,"A depressingly retrograde , ` post-feminist ' romantic comedy that takes an astonishingly condescending attitude toward women .",18.0,1.0,,0
5407,What makes it worth watching is Quaid 's performance .,10.0,2.0,2.0,2
5408,"Content merely to lionize its title character and exploit his anger - all for easy sanctimony , formulaic thrills and a ham-fisted sermon on the need for national health insurance .",31.0,1.0,4.0,0
5409,"A baffling subplot involving smuggling drugs inside Danish cows falls flat , and if you 're going to alter the Bard 's ending , you 'd better have a good alternative .",32.0,3.0,6.0,0
5410,It 's that good .,5.0,1.0,2.0,2
5411,"This is a remake by the numbers , linking a halfwit plot to a series of standup routines in which Wilson and Murphy show how funny they could have been in a more ambitious movie .",36.0,3.0,2.0,0
5412,Obvious .,2.0,1.0,1.0,0
5413,The casting of Raymond J. Barry as the ` assassin ' greatly enhances the quality of Neil Burger 's impressive fake documentary .,23.0,6.0,5.0,2
5414,"An eye-boggling blend of psychedelic devices , special effects and backgrounds , ` Spy Kids 2 ' is a visual treat for all audiences .",,3.0,6.0,2
5415,Those eternally devoted to the insanity of Black will have an intermittently good time .,15.0,2.0,1.0,2
5416,That is made almost impossible by events that set the plot in motion .,14.0,1.0,1.0,1
5417,The superior plotline is n't quite enough to drag along the dead -LRB- water -RRB- weight of the other .,20.0,1.0,6.0,0
5418,Just a bunch of good actors flailing around in a caper that 's neither original nor terribly funny .,19.0,1.0,2.0,0
5419,Pipe Dream does have its charms .,7.0,2.0,1.0,2
5420,Miller has crafted an intriguing story of maternal instincts and misguided acts of affection .,15.0,1.0,1.0,2
5421,"Impostor does n't do much with its template , despite a remarkably strong cast .",15.0,,3.0,1
5422,Worse than ` Silence of the Lambs ' better than ` Hannibal ',13.0,4.0,4.0,1
5423,"Has no reason to exist , other than to employ Hollywood kids and people who owe favors to their famous parents .",22.0,2.0,2.0,0
5424,"Far From Heaven is a dazzling conceptual feat , but more than that , it 's a work of enthralling drama .",22.0,3.0,4.0,2
5425,"What might have been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention takes a surprising , subtle turn at the midway point .",31.0,1.0,2.0,0
5426,"The director mostly plays it straight , turning Leys ' fable into a listless climb down the social ladder .",20.0,2.0,3.0,0
5427,"It 's about individual moments of mood , and an aimlessness that 's actually sort of amazing .",18.0,1.0,4.0,2
5428,P.T. Anderson understands the grandness of romance and how love is the great equalizer that can calm us of our daily ills and bring out joys in our lives that we never knew were possible .,,2.0,3.0,2
5429,"The question hanging over The Time Machine is not , as the main character suggests , ` what if ? '",,4.0,5.0,1
5430,At its best ... Festival in Cannes bubbles with the excitement of the festival in Cannes .,17.0,4.0,4.0,1
5431,"The storylines are woven together skilfully , the magnificent swooping aerial shots are breathtaking , and the overall experience is awesome .",,1.0,,2
5432,"You can almost see Mendes and company getting together before a single frame had been shot and collectively vowing , ` This is going to be something really good . '",31.0,3.0,,2
5433,"I 've yet to find an actual Vietnam War combat movie actually produced by either the North or South Vietnamese , but at least now we 've got something pretty damn close .",33.0,,4.0,2
5434,Boasts eye-catching art direction but has a forcefully quirky tone that quickly wears out its limited welcome .,18.0,,2.0,0
5435,"Rarely , indeed almost never , is such high-wattage brainpower coupled with pitch-perfect acting and an exquisite , unfakable sense of cinema .",23.0,1.0,6.0,2
5436,An engrossing and grim portrait of hookers : what they think of themselves and their clients .,17.0,1.0,2.0,2
5437,"Sodden and glum , even in those moments where it 's supposed to feel funny and light .",,1.0,3.0,0
5438,"Fails in making this character understandable , in getting under her skin , in exploring motivation ... Well before the end , the film grows as dull as its characters , about whose fate it is hard to care .",40.0,,8.0,0
5439,"Lookin ' for sin , American-style ?",,2.0,4.0,0
5440,What emerges is an unsettling picture of childhood innocence combined with indoctrinated prejudice .,14.0,,1.0,2
5441,Gets bogged down by an overly sillified plot and stop-and-start pacing .,12.0,1.0,3.0,0
5442,"The characters are complex and quirky , but entirely believable as the remarkable ensemble cast brings them to life .",20.0,1.0,,2
5443,The truth about Charlie is that it 's a brazenly misguided project .,13.0,2.0,,0
5444,"A sharp and quick documentary that is funny and pithy , while illuminating an era of theatrical comedy that , while past , really is n't .",27.0,1.0,5.0,2
5445,"A venturesome , beautifully realized psychological mood piece that reveals its first-time feature director 's understanding of the expressive power of the camera .",24.0,1.0,4.0,2
5446,"In other words , it 's badder than bad .",10.0,1.0,3.0,0
5447,"Will undoubtedly play well in European markets , where Mr. Besson is a brand name , and in Asia , where Ms. Shu is an institution , but American audiences will probably find it familiar and insufficiently cathartic .",,8.0,7.0,0
5448,"Wallace directs with such patronising reverence , it turns the stomach .",12.0,,2.0,1
5449,An excruciating demonstration of the unsalvageability of a movie saddled with an amateurish screenplay .,15.0,1.0,1.0,0
5450,"It celebrates the group 's playful spark of nonconformity , glancing vividly back at what Hibiscus grandly called his ` angels of light . '",25.0,2.0,5.0,2
5451,"Some of the computer animation is handsome , and various amusing sidekicks add much-needed levity to the otherwise bleak tale , but overall the film never rises above mediocrity .",30.0,1.0,,0
5452,It 's hard to imagine acting that could be any flatter .,12.0,,,0
5453,"I found it slow , predictable and not very amusing .",11.0,1.0,2.0,0
5454,"A film neither bitter nor sweet , neither romantic nor comedic , neither warm nor fuzzy .",17.0,1.0,,2
5455,"Poetic , heartbreaking .",4.0,1.0,2.0,2
5456,"This is a film about the irksome , tiresome nature of complacency that remains utterly satisfied to remain the same throughout .",22.0,1.0,2.0,0
5457,"All three actresses are simply dazzling , particularly Balk , who 's finally been given a part worthy of her considerable talents .",23.0,2.0,4.0,2
5458,The entire movie is in need of a scented bath .,11.0,1.0,1.0,0
5459,And it 's a lousy one at that .,9.0,,,0
5460,Yet another self-consciously overwritten story about a rag-tag bunch of would-be characters that team up for a ca n't - miss heist -- only to have it all go wrong .,31.0,1.0,8.0,1
5461,A stirring road movie .,5.0,,1.0,2
5462,"There is something in Full Frontal , I guess , about artifice and acting and how it distorts reality for people who make movies and watch them , but like most movie riddles , it works only if you have an interest in the characters you see .",48.0,4.0,5.0,0
5463,"Throughout , Mr. Audiard 's direction is fluid and quick .",11.0,3.0,4.0,2
5464,Trapped presents a frightening and compelling ` What if ? ',11.0,2.0,3.0,2
5465,"This is surely one of the most frantic , virulent and foul-natured Christmas season pics ever delivered by a Hollywood studio .",22.0,,3.0,0
5466,... a delicious crime drama on par with the slickest of Mamet .,13.0,1.0,4.0,2
5467,"Mild , meandering teen flick .",6.0,1.0,2.0,1
5468,Greengrass -LRB- working from Don Mullan 's script -RRB- forgoes the larger socio-political picture of the situation in Northern Ireland in favour of an approach that throws one in the pulsating thick of a truly frightening situation .,38.0,5.0,7.0,1
5469,"Unless there are zoning ordinances to protect your community from the dullest science fiction , Impostor is opening today at a theater near you .",25.0,2.0,2.0,0
5470,"Overall , interesting as a documentary -- but not very Imaxy .",12.0,2.0,4.0,1
5471,Prepare to marvel again .,,1.0,1.0,2
5472,"As Allen 's execution date closes in , the documentary gives an especially poignant portrait of her friendship with the never flagging legal investigator David Presson .",27.0,4.0,3.0,1
5473,"Cold , pretentious , thoroughly dislikable study in sociopathy .",10.0,1.0,3.0,0
5474,Beautifully directed and convincingly acted .,6.0,1.0,1.0,2
5475,"As they used to say in the 1950s sci-fi movies , Signs is a tribute to Shyamalan 's gifts , which are such that we 'll keep watching the skies for his next project .",35.0,3.0,6.0,2
5476,"Those who are not acquainted with the author 's work , on the other hand , may fall fast asleep .",21.0,,,0
5477,"A little less extreme than in the past , with longer exposition sequences between them , and with fewer gags to break the tedium .",,1.0,3.0,0
5478,"Anyone who suffers through this film deserves , at the very least , a big box of consolation candy .",20.0,1.0,3.0,0
5479,"While Cherish does n't completely survive its tonal transformation from dark comedy to suspense thriller , it 's got just enough charm and appealing character quirks to forgive that still serious problem .",,2.0,4.0,2
5480,I ca n't .,,1.0,2.0,1
5481,Contradicts everything we 've come to expect from movies nowadays .,,1.0,,2
5482,"Unless you come in to the film with a skateboard under your arm , you 're going to feel like you were n't invited to the party .",,1.0,4.0,0
5483,Though its atmosphere is intriguing ... the drama is finally too predictable to leave much of an impression .,,1.0,4.0,1
5484,"Sometimes this modest little number clicks , and sometimes it does n't .",13.0,1.0,3.0,1
5485,"By not averting his eyes , Solondz forces us to consider the unthinkable , the unacceptable , the unmentionable .",20.0,2.0,4.0,2
5486,No. .,2.0,1.0,2.0,0
5487,Kurys seems intimidated by both her subject matter and the period trappings of this debut venture into the heritage business .,,,1.0,0
5488,"Blisteringly rude , scarily funny , sorrowfully sympathetic to the damage it surveys , the film has in Kieran Culkin a pitch-perfect Holden .",24.0,4.0,5.0,2
5489,"Faithful without being forceful , sad without being shrill , `` A Walk to Remember '' succeeds through sincerity .",20.0,4.0,7.0,2
5490,"The movie ends with outtakes in which most of the characters forget their lines and just utter ` uhhh , ' which is better than most of the writing in the movie .",33.0,1.0,,0
5491,"In its own floundering way , it gets to you .",11.0,1.0,2.0,2
5492,"The setting turns out to be more interesting than any of the character dramas , which never reach satisfying conclusions .",21.0,1.0,,0
5493,"Helmer Hudlin tries to make a hip comedy , but his dependence on slapstick defeats the possibility of creating a more darkly edged tome .",25.0,2.0,2.0,0
5494,"Almost nothing else -- raunchy and graphic as it may be in presentation -- is one-sided , outwardly sexist or mean-spirited .",22.0,1.0,,1
5495,"It 's Jagger 's bone-dry , mournfully brittle delivery that gives the film its bittersweet bite .",17.0,2.0,,1
5496,Where Bowling for Columbine is at its most valuable is in its examination of America 's culture of fear as a root cause of gun violence .,27.0,4.0,2.0,1
5497,The movie does n't generate a lot of energy .,10.0,1.0,2.0,0
5498,"Funny , sexy , devastating and incurably romantic .",9.0,1.0,3.0,2
5499,"An even more predictable , cliche-ridden endeavor than its predecessor .",11.0,1.0,3.0,0
5500,"Dogtown is hollow , self-indulgent , and - worst of all - boring .",14.0,1.0,,0
5501,One of the most depressing movie-going experiences I can think of is to sit through about 90 minutes of a so-called ` comedy ' and not laugh once .,,2.0,5.0,0
5502,"The animation and game phenomenon that peaked about three years ago is actually dying a slow death , if the poor quality of Pokemon 4 Ever is any indication .",30.0,3.0,2.0,0
5503,"A nearly 21\/2 hours , the film is way too indulgent .",12.0,1.0,4.0,0
5504,You may be galled that you 've wasted nearly two hours of your own precious life with this silly little puddle of a movie .,25.0,1.0,2.0,0
5505,"This is a third-person story now , told by Hollywood , and much more ordinary for it .",18.0,2.0,4.0,0
5506,"Elaborate special effects take centre screen , so that the human story is pushed to one side .",,1.0,2.0,2
5507,"The off-center humor is a constant , and the ensemble gives it a buoyant delivery .",16.0,1.0,3.0,2
5508,Jaglom offers the none-too-original premise that everyone involved with moviemaking is a con artist and a liar .,18.0,1.0,3.0,0
5509,An awkwardly garish showcase that diverges from anything remotely probing or penetrating .,13.0,1.0,1.0,0
5510,Earnest yet curiously tepid and choppy recycling in which predictability is the only winner .,15.0,1.0,1.0,0
5511,Credit director Ramsay for taking the sometimes improbable story and making it feel realistic .,15.0,2.0,1.0,2
5512,"In the wake of Saving Private Ryan , Black Hawk Down and We Were Soldiers , you are likely to be as heartily sick of mayhem as Cage 's war-weary marine .",32.0,11.0,5.0,0
5513,"The Piano Teacher , like its title character , is repellantly out of control .",15.0,3.0,,0
5514,"Its screenplay serves as auto-critique , and its clumsiness as its own most damning censure .",,1.0,3.0,0
5515,"The farcical elements seemed too pat and familiar to hold my interest , yet its diverting grim message is a good one .",23.0,1.0,,1
5516,"... Ice Age treads predictably along familiar territory , making it a passable family film that wo n't win many fans over the age of 12 .",27.0,,,1
5517,Never inspires more than an interested detachment .,8.0,1.0,1.0,0
5518,Gloriously straight from the vagina .,6.0,1.0,,1
5519,A serious movie with serious ideas .,7.0,1.0,1.0,2
5520,Gets the look and the period trappings right,8.0,1.0,0.0,2
5521,"It is n't that the picture is unfamiliar , but that it manages to find new avenues of discourse on old problems .",23.0,1.0,,1
5522,"It wo n't hold up over the long haul , but in the moment , Finch 's tale provides the forgettable pleasures of a Saturday matinee .",27.0,3.0,5.0,2
5523,"It cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you .",52.0,1.0,6.0,2
5524,A movie in which two not very absorbing characters are engaged in a romance you ca n't wait to see end .,22.0,1.0,2.0,0
5525,"Although tender and touching , the movie would have benefited from a little more dramatic tension and some more editing .",21.0,1.0,2.0,1
5526,Your stomach for Heaven depends largely on your appetite for canned corn .,13.0,2.0,1.0,1
5527,"There are deeply religious and spiritual people in this world who would argue that entering a church , synagogue or temple does n't mean you have to check your brain at the door .",34.0,1.0,3.0,2
5528,Manages to be both hugely entertaining and uplifting .,9.0,1.0,1.0,2
5529,"The most memorable moment was when Green threw medical equipment at a window ; not because it was particularly funny , but because I had a serious urge to grab the old lady at the end of my aisle 's walker and toss it at the screen in frustration .",50.0,3.0,4.0,0
5530,A film of ideas and wry comic mayhem .,9.0,1.0,1.0,2
5531,"Happily , some things are immune to the folly of changing taste and attitude .",15.0,1.0,2.0,2
5532,"The plot of the comeback curlers is n't very interesting actually , but what I like about Men With Brooms and what is kind of special is how the film knows what 's unique and quirky about Canadians .",39.0,6.0,4.0,2
5533,"This is one of Mr. Chabrol 's subtlest works , but also one of his most uncanny .",18.0,3.0,,2
5534,"The most opaque , self-indulgent and just plain goofy an excuse for a movie as you can imagine .",19.0,1.0,3.0,0
5535,"While this has the making of melodrama , the filmmaker cuts against this natural grain , producing a work that 's more interested in asking questions than in answering them .",31.0,,4.0,1
5536,"-LRB- The kid 's -RRB- just too bratty for sympathy , and as the film grows to its finale , his little changes ring hollow .",26.0,1.0,8.0,0
5537,The story alone could force you to scratch a hole in your head .,14.0,1.0,1.0,0
5538,"To the vast majority of more casual filmgoers , it will probably be a talky bore .",17.0,1.0,2.0,0
5539,"A fresh , entertaining comedy that looks at relationships minus traditional gender roles .",14.0,1.0,2.0,2
5540,"I 'm convinced I could keep a family of five blind , crippled , Amish people alive in this situation better than these British soldiers do at keeping themselves kicking .",,4.0,4.0,0
5541,"Despite the holes in the story and the somewhat predictable plot , moments of the movie caused me to jump in my chair ...",24.0,1.0,4.0,1
5542,The movie is ingenious fun .,6.0,1.0,1.0,2
5543,"The jokes are sophomoric , stereotypes are sprinkled everywhere and the acting ranges from bad to bodacious .",,,2.0,0
5544,"In questioning the election process , Payami graphically illustrates the problems of fledgling democracies , but also the strength and sense of freedom the Iranian people already possess , with or without access to the ballot box .",38.0,3.0,4.0,2
5545,It does n't matter that the film is less than 90 minutes .,13.0,1.0,2.0,2
5546,But it does have one saving grace .,8.0,1.0,1.0,2
5547,"The only upside to all of this unpleasantness is , given its Labor Day weekend upload , FearDotCom should log a minimal number of hits .",26.0,4.0,3.0,1
5548,About Schmidt is undoubtedly one of the finest films of the year .,13.0,,,2
5549,Puts to rest any thought that the German film industry can not make a delightful comedy centering on food .,,2.0,1.0,2
5550,"Yes , Spirited Away is a triumph of imagination , but it 's also a failure of storytelling .",,3.0,4.0,0
5551,The Paradiso 's rusted-out ruin and ultimate collapse during the film 's final -LRB- restored -RRB- third ... emotionally belittle a cinema classic .,24.0,2.0,11.0,0
5552,"Though Impostor deviously adopts the guise of a modern motion picture , it too is a bomb .",18.0,2.0,2.0,0
5553,"With an admirably dark first script by Brent Hanley , Paxton , making his directorial feature debut , does strong , measured work .",24.0,,5.0,2
5554,"As a kind of colorful , dramatized PBS program , Frida gets the job done .",16.0,3.0,3.0,2
5555,"The film feels formulaic , its plot and pacing typical Hollywood war-movie stuff , while the performances elicit more of a sense of deja vu than awe .",28.0,,,0
5556,"That 's not vintage Spielberg and that , finally , is minimally satisfying .",14.0,2.0,4.0,1
5557,"The film 's plot may be shallow , but you 've never seen the deep like you see it in these harrowing surf shots .",25.0,1.0,4.0,2
5558,The mantra behind the project seems to have been ` it 's just a kids ' flick . ',19.0,1.0,5.0,0
5559,The innocence of holiday cheer ai n't what it used to be .,13.0,1.0,2.0,1
5560,"Despite Juliet Stevenon 's attempt to bring cohesion to Pamela 's emotional roller coaster life , it is not enough to give the film the substance it so desperately needs .",,4.0,4.0,0
5561,The film is about the relationships rather than about the outcome .,12.0,1.0,,1
5562,"While the humor is recognizably Plympton , he has actually bothered to construct a real story this time .",19.0,2.0,2.0,2
5563,"There are n't too many films that can be as simultaneously funny , offbeat and heartwarming -LRB- without a thick shmear of the goo , at least -RRB- , but `` Elling '' manages to do all three quite well , making it one of the year 's most enjoyable releases .",52.0,2.0,15.0,2
5564,"Far too clever by half , Howard 's film is really a series of strung-together moments , with all the spaces in between filled with fantasies , daydreams , memories and one fantastic visual trope after another .",38.0,2.0,7.0,0
5565,"As an actor 's showcase , Hart 's War has much to recommend it , even if the top-billed Willis is not the most impressive player .",27.0,4.0,6.0,2
5566,A surprisingly sweet and gentle comedy .,7.0,1.0,1.0,2
5567,"A sly female empowerment movie , although not in a way anyone would expect .",15.0,1.0,2.0,2
5568,And how .,3.0,1.0,1.0,1
5569,"Everything else about High Crimes is , like the military system of justice it portrays , tiresomely regimented .",19.0,3.0,,1
5570,"At a brief 42 minutes , we need more X and less blab .",14.0,2.0,2.0,1
5571,"Slow , silly and unintentionally hilarious .",7.0,1.0,2.0,1
5572,"A film that will be best appreciated by those willing to endure its extremely languorous rhythms , Waiting for Happiness is ultimately thoughtful without having much dramatic impact .",29.0,3.0,2.0,2
5573,"It all starts to smack of a Hallmark Hall of Fame , with a few four letter words thrown in that are generally not heard on television .",28.0,4.0,,0
5574,"The performances are strong , though the subject matter demands acting that borders on hammy at times .",18.0,1.0,2.0,2
5575,"The film did n't move me one way or the other , but it was an honest effort and if you want to see a flick about telemarketers this one will due .",33.0,1.0,3.0,1
5576,"... spiced with humor -LRB- ' I speak fluent flatula , ' advises Denlopp after a rather , er , bubbly exchange with an alien deckhand -RRB- and witty updatings -LRB- Silver 's parrot has been replaced with Morph , a cute alien creature who mimics everyone and everything around -RRB-",51.0,,18.0,2
5577,Spielberg has managed to marry science fiction with film noir and action flicks with philosophical inquiry .,17.0,1.0,1.0,2
5578,The Wild Thornberrys Movie has all the sibling rivalry and general family chaos to which anyone can relate .,19.0,4.0,1.0,2
5579,"a huge disappointment coming , as it does , from filmmakers and performers of this calibre",16.0,,2.0,0
5580,"In his role of observer of the scene , Lawrence sounds whiny and defensive , as if his life-altering experiences made him bitter and less mature .",,2.0,4.0,0
5581,"But this time , the old MIB label stands for Milder Is n't Better .",15.0,5.0,3.0,0
5582,It is Scott 's convincing portrayal of Roger the sad cad that really gives the film its oomph .,19.0,3.0,2.0,2
5583,"The documentary is much too conventional -- lots of boring talking heads , etc. -- to do the subject matter justice .",22.0,1.0,7.0,0
5584,Real Women Have Curves does n't offer any easy answers .,11.0,4.0,2.0,1
5585,So putrid it is not worth the price of the match that should be used to burn every print of the film .,23.0,1.0,1.0,0
5586,"The re - enactments , however fascinating they may be as history , are too crude to serve the work especially well .",23.0,,4.0,0
5587,"The tasteful little revision works wonders , enhancing the cultural and economic subtext , bringing richer meaning to the story 's morals .",23.0,1.0,4.0,2
5588,"The film is explosive , but a few of those sticks are wet .",14.0,1.0,2.0,1
5589,"A pleasant and engaging enough sit , but in trying to have the best of both worlds it ends up falling short as a whole .",,1.0,,0
5590,"... while certainly clever in spots , this too-long , spoofy update of Shakespeare 's Macbeth does n't sustain a high enough level of invention .",26.0,2.0,9.0,0
5591,"Trapped wo n't score points for political correctness , but it may cause parents a few sleepless hours -- a sign of its effectiveness .",25.0,1.0,5.0,2
5592,"-LRB- Kline 's -RRB- utterly convincing -- and deeply appealing -- as a noble teacher who embraces a strict moral code , and as a flawed human being who ca n't quite live up to it .",37.0,1.0,12.0,2
5593,The film is so packed with subplots involving the various Silbersteins that it feels more like the pilot episode of a TV series than a feature film .,28.0,3.0,1.0,0
5594,Spiderman ROCKS,,2.0,0.0,2
5595,"Girlfriends are bad , wives are worse and babies are the kiss of death in this bitter Italian comedy .",20.0,2.0,2.0,0
5596,"Like Vardalos and Corbett , who play their roles with vibrant charm , the film , directed by Joel Zwick , is heartfelt and hilarious in ways you ca n't fake .",,5.0,6.0,2
5597,This film puts Wang at the forefront of China 's Sixth Generation of film makers .,16.0,5.0,2.0,2
5598,"It 's an unusual , thoughtful bio-drama with a rich subject and some fantastic moments and scenes .",,1.0,4.0,1
5599,"Huppert 's show to steal and she makes a meal of it , channeling Kathy Baker 's creepy turn as the repressed mother on Boston Public just as much as 8 Women 's Augustine .",,7.0,5.0,2
5600,In comparison to his earlier films it seems a disappointingly thin slice of lower-class London life ; despite the title ... amounts to surprisingly little .,26.0,2.0,6.0,0
5601,Director Oliver Parker labors so hard to whip life into The Importance of Being Earnest that he probably pulled a muscle or two .,24.0,7.0,1.0,1
5602,This is an elegantly balanced movie -- every member of the ensemble has something fascinating to do -- that does n't reveal even a hint of artifice .,28.0,1.0,6.0,2
5603,with a couple of burnt-out cylinders,6.0,0.0,1.0,1
5604,There 's plenty to enjoy -- in no small part thanks to Lau .,14.0,2.0,4.0,2
5605,"There is a subversive element to this Disney cartoon , providing unexpected fizzability .",14.0,2.0,2.0,2
5606,"Watching Queen of the Damned is like reading a research paper , with special effects tossed in .",18.0,3.0,2.0,0
5607,"Once the downward spiral comes to pass , Auto Focus bears out as your typical junkie opera ...",18.0,3.0,4.0,0
5608,"Anyone not into high-tech splatterfests is advised to take the warning literally , and log on to something more user-friendly .",21.0,1.0,,0
5609,"Is not so much a work of entertainment as it is a unique , well-crafted psychological study of grief .",20.0,1.0,,2
5610,This is not a Jackie Chan movie .,8.0,3.0,,0
5611,"She is a lioness , protecting her cub , and he a reluctant villain , incapable of controlling his crew .",21.0,,4.0,2
5612,If only it had the story to match .,9.0,1.0,1.0,0
5613,"In the long , dishonorable history of quickie teen-pop exploitation , Like Mike stands out for its only partly synthetic decency .",22.0,3.0,4.0,1
5614,Inconsequential road-and-buddy pic .,,1.0,3.0,0
5615,The most repugnant adaptation,4.0,1.0,0.0,0
5616,"With its paint fights , motorized scooter chases and dewy-eyed sentiment",11.0,1.0,2.0,1
5617,... hypnotically dull .,4.0,0.0,,0
5618,An overwrought Taiwanese soaper about three people and their mixed-up relationship .,12.0,,2.0,1
5619,"The actors pull out all the stops in nearly every scene , but to diminishing effect .",17.0,,2.0,1
5620,"The message of such reflections -- intentional or not -- is that while no art grows from a vacuum , many artists exist in one .",26.0,1.0,6.0,1
5621,"I stopped thinking about how good it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights .",48.0,1.0,6.0,2
5622,"The dramatic crisis does n't always succeed in its quest to be taken seriously , but Huppert 's volatile performance makes for a riveting movie experience .",27.0,,4.0,1
5623,One funny popcorn flick .,5.0,1.0,1.0,2
5624,Only at the prospect of Beck 's next project .,10.0,,2.0,1
5625,"Before it collapses into exactly the kind of buddy cop comedy it set out to lampoon , anyway .",19.0,1.0,2.0,0
